Account Transactions,,,,,,,,,
AustGrade Mascot Swimming Pty Ltd,,,,,,,,,
For the period 1 July 2025 to 30 June 2026,,,,,,,,,
,,,,,,,,,
"Account Type contains Asset, Liability, Equity",,,,,,,,,
,,,,,,,,,
Date,Source,Description,Reference,Debit,Credit,Running Balance,Gross,GST,Account
,,,,,,,,,
 - ANZ - Austgrade,,,,,,,,,
23 Jul 2025,Spend Money,ACCOUNT FEES,,0.00,10.00,(10.00),(10.00),0.00,ANZ - Austgrade
28 Jul 2025,Receive Money,ANZ Bank,,49.05,0.00,39.05,49.05,0.00,ANZ - Austgrade
22 Aug 2025,Spend Money,ACCOUNT FEES,,0.00,10.00,29.05,(10.00),0.00,ANZ - Austgrade
28 Aug 2025,Receive Money,ANZ Bank,,57.81,0.00,86.86,57.81,0.00,ANZ - Austgrade
23 Sep 2025,Spend Money,ACCOUNT FEES,,0.00,10.00,76.86,(10.00),0.00,ANZ - Austgrade
29 Sep 2025,Receive Money,ANZ Bank,,52.55,0.00,129.41,52.55,0.00,ANZ - Austgrade
23 Oct 2025,Spend Money,ACCOUNT FEES,,0.00,10.00,119.41,(10.00),0.00,ANZ - Austgrade
28 Oct 2025,Receive Money,ANZ Bank,,54.30,0.00,173.71,54.30,0.00,ANZ - Austgrade
21 Nov 2025,Spend Money,ACCOUNT FEES,,0.00,10.00,163.71,(10.00),0.00,ANZ - Austgrade
28 Nov 2025,Receive Money,ANZ Bank,,54.30,0.00,218.01,54.30,0.00,ANZ - Austgrade
05 Dec 2025,Spend Money,ANZ,,0.00,"1,108.25",(890.24),"(1,108.25)",0.00,ANZ - Austgrade
08 Dec 2025,Spend Money,ANZ,,0.00,37.70,(927.94),(37.70),0.00,ANZ - Austgrade
08 Dec 2025,Receive Money,ANZ,,37.70,0.00,(890.24),37.70,0.00,ANZ - Austgrade
23 Dec 2025,Spend Money,ANZ Bank,,0.00,5.59,(895.83),(5.59),0.00,ANZ - Austgrade
23 Dec 2025,Spend Money,ACCOUNT FEES,,0.00,10.00,(905.83),(10.00),0.00,ANZ - Austgrade
29 Dec 2025,Receive Money,ANZ Bank,,47.30,0.00,(858.53),47.30,0.00,ANZ - Austgrade
